runAt,gateway,tier,modelId,provider,modelTier,httpStatus,latencyMs,ok,softWarn,optional,listed,finishReason,promptTokens,completionTokens,totalTokens,reasoningTokens,error
2026-06-16T01:43:16.964Z,http://100.125.249.8:4000,full,agl-primary,ollama,local,0,120001,true,true,true,true,,,,,,timeout
2026-06-16T01:43:16.964Z,http://100.125.249.8:4000,full,agl-primary-strong,ollama,local,0,180001,true,true,true,true,,,,,,timeout
2026-06-16T01:43:16.964Z,http://100.125.249.8:4000,full,agl-primary-zai-glm-flash,zai,free,200,1338,true,false,true,true,stop,37,3,40,0,
2026-06-16T01:43:16.964Z,http://100.125.249.8:4000,full,claude-opus,anthropic,paid,200,2026,true,false,false,true,stop,37,3,40,0,
2026-06-16T01:43:16.964Z,http://100.125.249.8:4000,full,claude-opus-4-7,anthropic,paid,200,2318,true,false,false,true,stop,37,3,40,0,
2026-06-16T01:43:16.964Z,http://100.125.249.8:4000,full,claude-opus-4-6,anthropic,paid,200,1770,true,false,false,true,stop,37,3,40,0,
2026-06-16T01:43:16.964Z,http://100.125.249.8:4000,full,claude-sonnet,anthropic,paid,200,1314,true,false,false,true,stop,37,3,40,0,
2026-06-16T01:43:16.964Z,http://100.125.249.8:4000,full,claude-sonnet-4-6,anthropic,paid,200,1139,true,false,false,true,stop,37,3,40,0,
2026-06-16T01:43:16.964Z,http://100.125.249.8:4000,full,claude-sonnet-4-5-20250929,anthropic,paid,200,1227,true,false,false,true,stop,37,3,40,0,
2026-06-16T01:43:16.964Z,http://100.125.249.8:4000,full,claude-haiku,anthropic,paid,200,1089,true,false,false,true,stop,37,3,40,0,
2026-06-16T01:43:16.964Z,http://100.125.249.8:4000,full,claude-haiku-4-5-20251001,anthropic,paid,200,1082,true,false,false,true,stop,37,3,40,0,
2026-06-16T01:43:16.964Z,http://100.125.249.8:4000,full,glm,zai,paid,200,7314,true,false,false,true,stop,37,3,40,0,
2026-06-16T01:43:16.964Z,http://100.125.249.8:4000,full,glm-5,zai,paid,200,7047,true,false,false,true,stop,37,3,40,0,
2026-06-16T01:43:16.964Z,http://100.125.249.8:4000,full,glm-4.7,zai,paid,200,6520,true,false,false,true,stop,20,298,318,295,
2026-06-16T01:43:16.964Z,http://100.125.249.8:4000,full,glm-flash,zai,free,200,1115,true,false,true,true,stop,37,3,40,0,
2026-06-16T01:43:16.964Z,http://100.125.249.8:4000,full,glm-air,zai,paid,200,1086,true,false,false,true,length,20,32,52,,
2026-06-16T01:43:16.964Z,http://100.125.249.8:4000,full,zai/glm-5,zai,paid,200,22543,true,false,false,true,stop,37,3,40,0,
2026-06-16T01:43:16.964Z,http://100.125.249.8:4000,full,zai/glm-4.7,zai,paid,200,3289,true,false,false,true,stop,20,76,96,73,
2026-06-16T01:43:16.964Z,http://100.125.249.8:4000,full,zai/glm-4.5-flash,zai,free,200,7328,true,false,true,true,stop,37,3,40,0,
2026-06-16T01:43:16.964Z,http://100.125.249.8:4000,full,zai/glm-4.7-flash,zai,free,200,5323,true,false,true,true,stop,50,2,52,,
2026-06-16T01:43:16.964Z,http://100.125.249.8:4000,full,glm-4.5-flash,zai,free,200,6986,true,false,true,true,stop,37,3,40,0,
2026-06-16T01:43:16.964Z,http://100.125.249.8:4000,full,glm-4.7-flash,zai,paid,200,5637,true,false,false,true,stop,50,2,52,,
2026-06-16T01:43:16.964Z,http://100.125.249.8:4000,full,zai-glm-5,zai,paid,200,1203,true,false,false,true,stop,37,3,40,0,
2026-06-16T01:43:16.964Z,http://100.125.249.8:4000,full,zai-glm-flash,zai,paid,200,938,true,false,false,true,stop,37,3,40,0,
2026-06-16T01:43:16.964Z,http://100.125.249.8:4000,full,zai-coding-glm-4.7,zai,paid,200,1122,true,false,false,false,stop,37,3,40,0,
2026-06-16T01:43:16.964Z,http://100.125.249.8:4000,full,kimi,moonshot,paid,200,6244,true,false,false,true,stop,37,3,40,0,
2026-06-16T01:43:16.964Z,http://100.125.249.8:4000,full,kimi-128k,moonshot,paid,200,6524,true,false,false,true,stop,37,3,40,0,
2026-06-16T01:43:16.964Z,http://100.125.249.8:4000,full,kimi/moonshot-v1-128k,moonshot,paid,200,6565,true,false,false,true,stop,37,3,40,0,
2026-06-16T01:43:16.964Z,http://100.125.249.8:4000,full,moonshot-v1-128k,moonshot,paid,200,7071,true,false,false,true,stop,37,3,40,0,
2026-06-16T01:43:16.964Z,http://100.125.249.8:4000,full,glm-5-turbo,zai,paid,200,7553,true,false,false,true,stop,37,3,40,0,
2026-06-16T01:43:16.964Z,http://100.125.249.8:4000,full,gpt,openai,paid,200,6196,true,false,false,true,stop,37,3,40,0,
2026-06-16T01:43:16.964Z,http://100.125.249.8:4000,full,gpt-4o,openai,paid,200,6574,true,false,false,true,stop,37,3,40,0,
2026-06-16T01:43:16.964Z,http://100.125.249.8:4000,full,gpt-4o-mini,openai,paid,200,11383,true,false,false,true,stop,37,3,40,0,
2026-06-16T01:43:16.964Z,http://100.125.249.8:4000,full,gpt-5-mini,openai,paid,200,6941,true,false,false,true,stop,37,3,40,0,
2026-06-16T01:43:16.964Z,http://100.125.249.8:4000,full,gpt-5.4-nano,openai,paid,200,5794,true,false,false,true,stop,50,2,52,,
2026-06-16T01:43:16.964Z,http://100.125.249.8:4000,full,gpt-5.5,openai,paid,200,10655,true,false,false,true,stop,37,3,40,0,
2026-06-16T01:43:16.964Z,http://100.125.249.8:4000,full,gpt-5.4,openai,paid,200,6124,true,false,false,true,stop,37,3,40,0,
2026-06-16T01:43:16.964Z,http://100.125.249.8:4000,full,gpt-5.4-mini,openai,paid,200,6376,true,false,false,true,stop,37,3,40,0,
2026-06-16T01:43:16.964Z,http://100.125.249.8:4000,full,gpt-5-nano,openai,paid,200,16412,true,false,false,true,stop,37,3,40,0,
2026-06-16T01:43:16.964Z,http://100.125.249.8:4000,full,gemini,google,paid,200,11490,true,false,true,true,stop,14,24,38,23,
2026-06-16T01:43:16.964Z,http://100.125.249.8:4000,full,gemini-3.1-pro,google,paid,200,2058,true,false,true,true,length,14,28,42,28,
2026-06-16T01:43:16.964Z,http://100.125.249.8:4000,full,gemini-2.5-pro,google,paid,200,11916,true,false,true,true,stop,14,27,41,26,
2026-06-16T01:43:16.964Z,http://100.125.249.8:4000,full,gemini-lite,google,free,200,11190,true,false,true,true,stop,14,1,15,,
2026-06-16T01:43:16.964Z,http://100.125.249.8:4000,full,google/gemini-2.5-flash-lite,google,paid,200,555,true,false,true,true,stop,14,1,15,,
2026-06-16T01:43:16.964Z,http://100.125.249.8:4000,full,google/gemini-2.5-flash-lite:free,google,free,200,626,true,false,true,true,stop,14,1,15,,
2026-06-16T01:43:16.964Z,http://100.125.249.8:4000,full,google/gemini-2.5-flash,google,paid,200,576,true,false,true,true,length,14,28,42,28,
2026-06-16T01:43:16.964Z,http://100.125.249.8:4000,full,gemini-2.0,google,paid,200,892,true,false,true,true,stop,14,26,40,25,
